dataset,corr_thresh,keep_ratio,mse_full,trees_full,mse_method_A,trees_method_A,mse_method_B,trees_method_B,mse_method_C,trees_method_C,mse_basic_shap_only
3droad,0.9,0.3,,200,123.30213486092323,35,132.1761405955051,60,125.84027157435496,52,135.53082952528132
slice,0.95,0.3,,200,31.201790183864585,20,37.37138355000065,51,38.778783129279745,54,50.56877670083454
