dataset,method,mean_acc,std_acc
eeg,SHAP/Linear,0.8885180240320427,0.0
eeg,L1/Linear,0.9005340453938585,0.0
eeg,L1,0.8985313751668892,0.0
eeg,corr -> SHAP,0.8851802403204272,0.0
eeg,SHAP -> corr,0.9052069425901201,0.0
eeg,RE,0.8785046728971962,0.0
eeg,DREP,0.8471295060080107,0.0
eeg,RF,0.8324432576769025,0.0
elec,SHAP/Linear,0.8667255075022066,0.0
elec,L1/Linear,0.8748896734333628,0.0
elec,L1,0.8733451015004413,0.0
elec,corr -> SHAP,0.8695939982347749,0.0
elec,SHAP -> corr,0.8733451015004413,0.0
elec,RE,0.8731244483671668,0.0
elec,DREP,0.8561341571050309,0.0
elec,RF,0.8056045895851721,0.0
magic,SHAP/Linear,0.8538380651945321,0.0
magic,L1/Linear,0.8617245005257623,0.0
magic,L1,0.8633017875920084,0.0
magic,corr -> SHAP,0.8485804416403786,0.0
magic,SHAP -> corr,0.8527865404837014,0.0
magic,RE,0.8590956887486856,0.0
magic,DREP,0.8475289169295478,0.0
magic,RF,0.8585699263932702,0.0
