dataset,method,mean_acc,std_acc
eeg,SHAP/Linear,0.8911882510013353,0.007177399228686593
eeg,L1/Linear,0.8981308411214954,0.0067894163605293194
eeg,L1,0.8966622162883844,0.0027165540653372277
eeg,corr -> SHAP,0.8837116154873165,0.008779322949411797
eeg,SHAP -> corr,0.8923898531375167,0.01070091583952679
eeg,RE,0.8829105473965286,0.00761834051678885
eeg,DREP,0.8357810413885179,0.007921173283947324
eeg,RF,0.8359145527369826,0.003832496687425181
elec,SHAP/Linear,0.8684907325684025,0.006625475468962542
elec,L1/Linear,0.8759046778464252,0.004911403691421085
elec,L1,0.8745807590467786,0.003948643152386138
elec,corr -> SHAP,0.8714033539276258,0.006175765466738182
elec,SHAP -> corr,0.8754192409532214,0.00376173147769215
elec,RE,0.8629744042365403,0.005836264947259159
elec,DREP,0.849161518093557,0.016125864789610422
elec,RF,0.8064872021182701,0.0015726857618010102
magic,SHAP/Linear,0.8550998948475289,0.00517922622756036
magic,L1/Linear,0.8555205047318613,0.004250553718487405
magic,L1,0.8652996845425868,0.005528260537579373
magic,corr -> SHAP,0.8397476340694006,0.0022893313414381815
magic,SHAP -> corr,0.8451104100946372,0.003942867141798682
magic,RE,0.8559411146161935,0.004498264907719728
magic,DREP,0.8498422712933753,0.008169474069213466
magic,RF,0.8584647739221871,0.0005151397986925684
adult,SHAP/Linear,0.8573533926926619,0.0015240618539749285
adult,L1/Linear,0.8582130795210317,0.0031634625415759943
adult,L1,0.8545287073994474,0.002031051324352626
adult,corr -> SHAP,0.8498618360454404,0.004708698682881369
adult,SHAP -> corr,0.854774332207553,0.002746168839422529
adult,RE,0.8585815167331899,0.004498187674992312
adult,DREP,0.8584587043291372,0.0027666884436153075
adult,RF,0.8572919864906355,0.0007108281794774574
bincovtype,SHAP/Linear,0.8686095122690094,0.007286667369704478
bincovtype,L1/Linear,0.8841522770877512,0.005564348395402976
bincovtype,L1,0.8743572654751086,0.009430100568622866
bincovtype,corr -> SHAP,0.8914995455922448,0.00528502592292359
bincovtype,SHAP -> corr,0.890695748763001,0.005106431035356716
bincovtype,RE,0.8631929718267191,0.004511693597448013
bincovtype,DREP,0.8373139452691104,0.0048813720644536535
bincovtype,RF,0.789700090881551,0.0008576007772733354
bank,SHAP/Linear,0.8956656346749228,0.0021413035713242286
bank,L1/Linear,0.8967713401149935,0.002256939552794886
bank,L1,0.896594427244582,0.0027464263062821834
bank,corr -> SHAP,0.8946483856700574,0.0019309049051696408
bank,SHAP -> corr,0.8963732861565678,0.0015736795112478578
bank,RE,0.8966828836797877,0.0029846674602039954
bank,DREP,0.8977001326846528,0.001810658070805749
bank,RF,0.886156567890314,0.00016548683709750203
