dataset  , task          , lambda_prune, lambda_div, prune_threshold, corr_threshold, full_metric        , full_r2            , full_f1           , full_auc          , pre_pruned_metric  , pre_r2             , pre_f1            , pre_auc           , final_pruned_metric, final_r2           , final_f1          , final_auc         , initial_main_loss , initial_prune_loss, initial_div_loss    , initial_total_loss, final_main_loss    , final_prune_loss   , final_div_loss      , final_total_loss   , full_size, shap_size, pruned_weighted_size, final_size
covertype, classification,          0.0,        0.5,            0.01,           0.92,  0.7506798389039964,                    , 0.75035176077158  , 0.7517691988618646,  0.731643573711266 ,                    , 0.731643573711266 , 0.7341891055432344,  0.75895815835688  ,                    , 0.75895815835688  , 0.7600994105358417, 1.3359272480010986, 0.9186810851097107, 0.02616036869585514 , 1.349007487297058 , 0.8554625511169434 , 0.9655196070671082 , 0.020104004070162773, 0.8655145764350891 ,       200,        60,                   60,         44
covertype, classification,          0.5,        0.0,            0.01,           0.92,  0.7506798389039964,                    , 0.75035176077158  , 0.7517691988618646,  0.731643573711266 ,                    , 0.731643573711266 , 0.7341891055432344,  0.7627464590619752,                    , 0.7627464590619752, 0.7648104672335305, 1.5411094427108765, 0.9184184074401855, 0.026502510532736778, 2.0003185272216797, 0.9159182906150818 , 0.7783871293067932 , 0.04515458270907402 , 1.3051118850708008 ,       200,        60,                   28,         23
covertype, classification,          0.5,        0.5,            0.01,           0.92,  0.7506798389039964,                    , 0.75035176077158  , 0.7517691988618646,  0.731643573711266 ,                    , 0.731643573711266 , 0.7341891055432344,  0.7579757406006992,                    , 0.7579757406006992, 0.7594905709206025, 1.8513318300247192, 0.926119327545166 , 0.025669101625680923, 2.327226161956787 , 0.9188076853752136 , 0.8086255192756653 , 0.03879527747631073 , 1.3425180912017822 ,       200,        60,                   33,         28
slice    , regression    ,          0.0,        0.0,            0.01,           0.95,  8.223256632629429 , 0.8664815452338551 ,                   ,                   ,  6.245971367001158 , 0.9229711192461473 ,                   ,                   ,  5.713016836884638 , 0.9355556841549404 ,                   ,                   , 1.0775275230407715, 0.9151842594146729, 0.024603286758065224, 1.0775275230407715, 0.16999652981758118, 0.941442608833313  , 0.022216901183128357, 0.16999652981758118,       200,        60,                   60,         53
slice    , regression    ,          0.0,        0.5,            0.01,           0.95,  8.223256632629429 , 0.8664815452338551 ,                   ,                   ,  6.245971367001158 , 0.9229711192461473 ,                   ,                   ,  5.713016836884638 , 0.9355556841549404 ,                   ,                   , 0.8423491716384888, 0.9108676910400391, 0.02647528238594532 , 0.8555868268013   , 0.1701827198266983 , 0.952991247177124  , 0.020684270188212395, 0.18052485585212708,       200,        60,                   60,         53
slice    , regression    ,          0.7,        0.0,            0.01,           0.95,  8.223256632629429 , 0.8664815452338551 ,                   ,                   ,  6.245971367001158 , 0.9229711192461473 ,                   ,                   ,  5.526000328786005 , 0.9397058159410479 ,                   ,                   , 1.1920908689498901, 0.9044013023376465, 0.02662157267332077 , 1.825171709060669 , 0.24190835654735565, 0.5724490284919739 , 0.12243828922510147 , 0.6426226496696472 ,       200,        60,                   25,         22
slice    , regression    ,          0.7,        0.5,            0.01,           0.95,  8.223256632629429 , 0.8664815452338551 ,                   ,                   ,  6.245971367001158 , 0.9229711192461473 ,                   ,                   ,  5.719921582477007 , 0.935399815368069  ,                   ,                   , 2.120044708251953 , 0.9058512449264526, 0.027347734197974205, 2.7678143978118896, 0.23850421607494354, 0.6421357989311218 , 0.08965703845024109 , 0.7328277826309204 ,       200,        60,                   26,         26
3droad   , regression    ,          0.0,        0.0,            0.01,           0.9 , 13.220580425401257 , 0.4860241480775196 ,                   ,                   , 12.097012198360503 , 0.5696736823021986 ,                   ,                   , 11.764988327048274 , 0.5929716388031658 ,                   ,                   , 1.2174072265625   , 0.8808965682983398, 0.02772470936179161 , 1.2174072265625   , 0.5833384990692139 , 0.9152149558067322 , 0.02292465977370739 , 0.5833384990692139 ,       200,        60,                   60,         58
3droad   , regression    ,          0.0,        0.3,            0.01,           0.9 , 13.220580425401257 , 0.4860241480775196 ,                   ,                   , 12.097012198360503 , 0.5696736823021986 ,                   ,                   , 11.764988327048274 , 0.5929716388031658 ,                   ,                   , 1.4504203796386719, 0.8595297336578369, 0.031003311276435852, 1.459721326828003 , 0.5836408734321594 , 0.9210311770439148 , 0.02188199944794178 , 0.5902054905891418 ,       200,        60,                   60,         58
3droad   , regression    ,          1.0,        0.0,            0.01,           0.9 , 13.220580425401257 , 0.4860241480775196 ,                   ,                   , 12.097012198360503 , 0.5696736823021986 ,                   ,                   , 10.699980954666355 , 0.663327472444373  ,                   ,                   , 1.4959205389022827, 0.8832076787948608, 0.02694215252995491 , 2.3791282176971436, 0.6659034490585327 , 0.41072580218315125, 0.32519835233688354 , 1.0766292810440063 ,       200,        60,                   10,         10
3droad   , regression    ,          1.0,        0.3,            0.01,           0.9 , 13.220580425401257 , 0.4860241480775196 ,                   ,                   , 12.097012198360503 , 0.5696736823021986 ,                   ,                   , 10.838120741414977 , 0.6545782819069282 ,                   ,                   , 1.3095797300338745, 0.8770071268081665, 0.028626538813114166, 2.1951749324798584, 0.6664553880691528 , 0.4421949088573456 , 0.22451679408550262 , 1.1760053634643555 ,       200,        60,                   14,         14
kin40k   , regression    ,          0.0,        0.0,            0.01,           0.93,  0.8740990841494014, 0.24097472766828176,                   ,                   ,  0.8931656315865738, 0.20750065374697169,                   ,                   ,  0.882340226081924 , 0.22659484150388787,                   ,                   , 1.4598649740219116, 0.8221341371536255, 0.036298975348472595, 1.4598649740219116, 0.6209007501602173 , 0.9169526696205139 , 0.019497061148285866, 0.6209007501602173 ,       200,        60,                   60,         58
kin40k   , regression    ,          0.0,        0.5,            0.01,           0.93,  0.8740990841494014, 0.24097472766828176,                   ,                   ,  0.8931656315865738, 0.20750065374697169,                   ,                   ,  0.882340226081924 , 0.22659484150388787,                   ,                   , 1.4777140617370605, 0.8101750612258911, 0.03681335970759392 , 1.4961206912994385, 0.6207839250564575 , 0.9231553077697754 , 0.01879471354186535 , 0.6301812529563904 ,       200,        60,                   60,         58
kin40k   , regression    ,          0.7,        0.0,            0.01,           0.93,  0.8740990841494014, 0.24097472766828176,                   ,                   ,  0.8931656315865738, 0.20750065374697169,                   ,                   ,  0.8260419476086038, 0.32214140068975516,                   ,                   , 1.2968554496765137, 0.8309668302536011, 0.03396666795015335 , 1.8785321712493896, 0.7334834337234497 , 0.58661288022995   , 0.09699849784374237 , 1.144112467765808  ,       200,        60,                   35,         35
kin40k   , regression    ,          0.7,        0.5,            0.01,           0.93,  0.8740990841494014, 0.24097472766828176,                   ,                   ,  0.8931656315865738, 0.20750065374697169,                   ,                   ,  0.7950851502141255, 0.3719963175090255 ,                   ,                   , 1.282331109046936 , 0.8332729935646057, 0.03317456692457199 , 1.8822095394134521, 0.702021062374115  , 0.6536722183227539 , 0.06470052897930145 , 1.1919419765472412 ,       200,        60,                   30,         30
slice    , regression    ,          0.0,        0.0,            0.01,           0.95,  8.113494915738684 , 0.8700220909419722 ,                   ,                   ,  6.318040900121433 , 0.9211832585794348 ,                   ,                   ,  6.055562381848267 , 0.9275959975586429 ,                   ,                   , 2.0041215419769287, 0.9133651852607727, 0.02506333589553833 , 2.0041215419769287, 0.16855831444263458, 0.9515703916549683 , 0.020956486463546753, 0.16855831444263458,       200,        60,                   60,         56
slice    , regression    ,          0.0,        0.5,            0.01,           0.95,  8.113494915738684 , 0.8700220909419722 ,                   ,                   ,  6.318040900121433 , 0.9211832585794348 ,                   ,                   ,  6.026190153982004 , 0.9282966787090579 ,                   ,                   , 2.4636387825012207, 0.9238584637641907, 0.02464645355939865 , 2.475961923599243 , 0.1700620949268341 , 0.9465826749801636 , 0.021253762766718864, 0.1806889772415161 ,       200,        60,                   59,         55
slice    , regression    ,          1.0,        0.0,            0.01,           0.95,  8.113494915738684 , 0.8700220909419722 ,                   ,                   ,  6.318040900121433 , 0.9211832585794348 ,                   ,                   ,  5.848956555395831 , 0.9324523257032438 ,                   ,                   , 1.1386189460754395, 0.9234251976013184, 0.02469063363969326 , 2.062044143676758 , 0.2511140704154968 , 0.5859048366546631 , 0.13651831448078156 , 0.8370189070701599 ,       200,        60,                   28,         28
slice    , regression    ,          1.0,        0.5,            0.01,           0.95,  8.113494915738684 , 0.8700220909419722 ,                   ,                   ,  6.318040900121433 , 0.9211832585794348 ,                   ,                   ,  5.424995269003436 , 0.941889804424548  ,                   ,                   , 0.5329778790473938, 0.9125522375106812, 0.02588524855673313 , 1.4584728479385376, 0.24627095460891724, 0.5664418339729309 , 0.1364719420671463  , 0.8809487819671631 ,       200,        60,                   26,         26
3droad   , regression    ,          0.0,        0.0,            0.01,           0.9 , 13.276264690831777 , 0.48168536105786863,                   ,                   , 11.906593429579498 , 0.5831145685522947 ,                   ,                   , 11.906593429579498 , 0.5831145685522947 ,                   ,                   , 1.1722952127456665, 0.8779327869415283, 0.027405261993408203, 1.1722952127456665, 0.5827381610870361 , 0.9209232330322266 , 0.022308824583888054, 0.5827381610870361 ,       200,        60,                   60,         60
3droad   , regression    ,          0.0,        0.5,            0.01,           0.9 , 13.276264690831777 , 0.48168536105786863,                   ,                   , 11.906593429579498 , 0.5831145685522947 ,                   ,                   , 11.82280134128687  , 0.5889615450177297 ,                   ,                   , 1.171364426612854 , 0.8747405409812927, 0.02913360670208931 , 1.1859312057495117, 0.5836237072944641 , 0.9234617352485657 , 0.02137383446097374 , 0.5943106412887573 ,       200,        60,                   59,         59
3droad   , regression    ,          1.0,        0.0,            0.01,           0.9 , 13.276264690831777 , 0.48168536105786863,                   ,                   , 11.906593429579498 , 0.5831145685522947 ,                   ,                   , 11.068531468041574 , 0.6397353266919472 ,                   ,                   , 1.4534701108932495, 0.8927092552185059, 0.025955557823181152, 2.346179485321045 , 0.6874668598175049 , 0.4131523370742798 , 0.32575565576553345 , 1.1006191968917847 ,       200,        60,                   13,         13
3droad   , regression    ,          1.0,        0.5,            0.01,           0.9 , 13.276264690831777 , 0.48168536105786863,                   ,                   , 11.906593429579498 , 0.5831145685522947 ,                   ,                   , 11.072253788922787 , 0.6394929736370485 ,                   ,                   , 0.8054354190826416, 0.8770999312400818, 0.02910502254962921 , 1.6970878839492798, 0.674604058265686  , 0.45744115114212036, 0.1856672763824463  , 1.2248789072036743 ,       200,        60,                   13,         13
