dataset  , task          , lambda_prune, lambda_div, prune_threshold, corr_threshold, full_metric        , full_r2            , full_f1           , full_auc          , pre_pruned_metric  , pre_r2             , pre_f1            , pre_auc           , final_pruned_metric, final_r2           , final_f1          , final_auc         , initial_main_loss , initial_prune_loss, initial_div_loss    , initial_total_loss, final_main_loss    , final_prune_loss   , final_div_loss      , final_total_loss   , full_size, shap_size, pruned_weighted_size, final_size
3droad,regression,0.0,0.0,0.01,0.9,13.084909942053935,0.496518930624005,,,11.912904847524375,0.5826724881936745,,,11.861555864188558,0.5862624034264944,,,1.3245702981948853,0.8779813647270203,0.027863306924700737,1.3245702981948853,0.5845251679420471,0.9197768568992615,0.021697862073779106,0.5845251679420471,200,60,59,59
3droad,regression,0.0,0.7,0.01,0.9,13.084909942053935,0.496518930624005,,,11.912904847524375,0.5826724881936745,,,11.912904847524375,0.5826724881936745,,,1.2848973274230957,0.8790439963340759,0.0291637871414423,1.305311918258667,0.5846582651138306,0.9325432181358337,0.019840575754642487,0.5985466837882996,200,60,60,60
3droad,regression,1.0,0.0,0.01,0.9,13.084909942053935,0.496518930624005,,,11.912904847524375,0.5826724881936745,,,10.711519652155811,0.6626009558086048,,,1.4583076238632202,0.8550679087638855,0.032281991094350815,2.313375473022461,0.6779677867889404,0.4353884160518646,0.2157159298658371,1.1133562326431274,200,60,17,17
3droad,regression,1.0,0.7,0.01,0.9,13.084909942053935,0.496518930624005,,,11.912904847524375,0.5826724881936745,,,10.732495435612861,0.6612782417632248,,,0.7837504148483276,0.8711023330688477,0.02959742769598961,1.6755709648132324,0.6551093459129333,0.5264940857887268,0.13673999905586243,1.277321457862854,200,60,20,20
kin40k,regression,0.0,0.0,0.01,0.93,0.8684031027450837,0.25083472507059046,,,0.8700775176342314,0.2479429278442089,,,0.8700775176342314,0.2479429278442089,,,1.3708616495132446,0.8111610412597656,0.03989328071475029,1.3708616495132446,0.615092933177948,0.9163719415664673,0.019319770857691765,0.615092933177948,200,60,60,60
kin40k,regression,0.0,0.7,0.01,0.93,0.8684031027450837,0.25083472507059046,,,0.8700775176342314,0.2479429278442089,,,0.8700775176342314,0.2479429278442089,,,1.4530521631240845,0.8404162526130676,0.03202330321073532,1.4754685163497925,0.6154438257217407,0.9160285592079163,0.019177528098225594,0.6288681030273438,200,60,60,60
kin40k,regression,1.0,0.0,0.01,0.93,0.8684031027450837,0.25083472507059046,,,0.8700775176342314,0.2479429278442089,,,0.7707631633228802,0.409830438196664,,,1.17388916015625,0.8463362455368042,0.030484715476632118,2.0202255249023438,0.8265991806983948,0.43570587038993835,0.19275188446044922,1.2623050212860107,200,60,18,18
kin40k,regression,1.0,0.7,0.01,0.93,0.8684031027450837,0.25083472507059046,,,0.8700775176342314,0.2479429278442089,,,0.8308708464437351,0.31419294670418985,,,1.4191676378250122,0.8272049427032471,0.035148248076438904,2.2709765434265137,0.7345268130302429,0.6040091514587402,0.07923658937215805,1.3940016031265259,200,60,37,37
covertype,classification,0.0,0.0,0.01,0.92,0.7528828611751747,,0.7526779556136601,0.7538021831115258,0.7481585082519148,,0.7481585082519148,0.749921935545061,0.7677533141534257,,0.7677533141534257,0.7692496494801492,1.491349697113037,0.900730550289154,0.030415136367082596,1.491349697113037,0.859337329864502,0.921652615070343,0.0253060944378376,0.859337329864502,200,60,60,43
covertype,classification,0.0,0.7,0.01,0.92,0.7528828611751747,,0.7526779556136601,0.7538021831115258,0.7481585082519148,,0.7481585082519148,0.749921935545061,0.7688884057825555,,0.7688884057825555,0.7705067280299905,1.5618176460266113,0.9091936349868774,0.02809985540807247,1.5814875364303589,0.8636546730995178,0.9237977266311646,0.024341782554984093,0.8806939125061035,200,60,57,41
covertype,classification,1.0,0.0,0.01,0.92,0.7528828611751747,,0.7526779556136601,0.7538021831115258,0.7481585082519148,,0.7481585082519148,0.749921935545061,0.776314432592466,,0.776314432592466,0.7793484769964072,1.3122421503067017,0.9217492341995239,0.026356510818004608,2.2339913845062256,0.9368869662284851,0.5707513093948364,0.10399965196847916,1.5076382160186768,200,60,12,10
covertype,classification,1.0,0.7,0.01,0.92,0.7528828611751747,,0.7526779556136601,0.7538021831115258,0.7481585082519148,,0.7481585082519148,0.749921935545061,0.7395032430153406,,0.7395032430153406,0.7515649997353678,1.3558624982833862,0.9177845120429993,0.026303766295313835,2.2920596599578857,0.921613335609436,0.6324458122253418,0.08180917054414749,1.6113256216049194,200,60,16,13
slice,regression,0.0,0.0,0.01,0.95,8.208174347608889,0.8669708688089839,,,6.500408228882138,0.9165675739192288,,,6.090768304276575,0.9267516632476234,,,1.33995521068573,0.9082223176956177,0.026635417714715004,1.33995521068573,0.16581259667873383,0.9425281286239624,0.021026380360126495,0.16581259667873383,200,60,59,55
slice,regression,0.0,0.5,0.01,0.95,8.208174347608889,0.8669708688089839,,,6.500408228882138,0.9165675739192288,,,6.029600995695096,0.9282154871481284,,,2.210597276687622,0.9047529101371765,0.028181713074445724,2.2246880531311035,0.16698884963989258,0.951752781867981,0.020438436418771744,0.1772080659866333,200,60,59,55
slice,regression,1.2,0.0,0.01,0.95,8.208174347608889,0.8669708688089839,,,6.500408228882138,0.9165675739192288,,,5.693398286619494,0.9359975289000583,,,1.3077292442321777,0.9193375706672668,0.024627450853586197,2.4109344482421875,0.276559054851532,0.5217857360839844,0.2331419438123703,0.9027019739151001,200,60,16,16
slice,regression,1.2,0.5,0.01,0.95,8.208174347608889,0.8669708688089839,,,6.500408228882138,0.9165675739192288,,,5.927595390106732,0.9306237673213005,,,0.606379508972168,0.9114633798599243,0.026729987934231758,1.7135006189346313,0.265362411737442,0.5325603485107422,0.1527443379163742,0.9808069467544556,200,60,16,14
3droad,regression,0.0,0.0,0.01,0.9,13.587955964808382,0.4570623840159209,,,12.432740730957226,0.5454565287073494,,,12.343706286786995,0.5519434518122996,,,1.3769912719726562,0.8863763809204102,0.0276741124689579,1.3769912719726562,0.5772064924240112,0.906149685382843,0.02355307713150978,0.5772064924240112,200,60,60,58
3droad,regression,0.0,0.5,0.01,0.9,13.587955964808382,0.4570623840159209,,,12.432740730957226,0.5454565287073494,,,12.343706286786995,0.5519434518122996,,,1.2225416898727417,0.8873369693756104,0.02676422894001007,1.2359237670898438,0.5769437551498413,0.9259565472602844,0.020778248086571693,0.5873329043388367,200,60,60,58
3droad,regression,1.2,0.0,0.01,0.9,13.587955964808382,0.4570623840159209,,,12.432740730957226,0.5454565287073494,,,10.5167779138747,0.6747576608365025,,,1.2847589254379272,0.8915231227874756,0.025246983394026756,2.354586601257324,0.6971701979637146,0.37864717841148376,0.3058941960334778,1.151546835899353,200,60,10,10
3droad,regression,1.2,0.5,0.01,0.9,13.587955964808382,0.4570623840159209,,,12.432740730957226,0.5454565287073494,,,11.081691578217939,0.638878132343349,,,0.9701882004737854,0.8753610253334045,0.029207361862063408,2.0352251529693604,0.6627168655395508,0.5062965154647827,0.15055251121520996,1.3455489873886108,200,60,18,18
kin40k,regression,0.0,0.0,0.01,0.93,0.8673075151220768,0.2527238441898678,,,0.8700898848275329,0.24792154836686997,,,0.8700898848275329,0.24792154836686997,,,1.2280325889587402,0.8641340732574463,0.02740182727575302,1.2280325889587402,0.6214594841003418,0.9170969724655151,0.020017879083752632,0.6214594841003418,200,60,60,60
kin40k,regression,0.0,0.5,0.01,0.93,0.8673075151220768,0.2527238441898678,,,0.8700898848275329,0.24792154836686997,,,0.8700898848275329,0.24792154836686997,,,1.0406770706176758,0.8610226511955261,0.027741532772779465,1.0545477867126465,0.6215552687644958,0.922100305557251,0.01947069726884365,0.63129061460495,200,60,60,60
kin40k,regression,1.2,0.0,0.01,0.93,0.8673075151220768,0.2527238441898678,,,0.8700898848275329,0.24792154836686997,,,0.7943961271325217,0.37308430547862825,,,0.9636873602867126,0.8596369624137878,0.02971986122429371,1.9952516555786133,0.8395100235939026,0.38797399401664734,0.22177934646606445,1.3050788640975952,200,60,14,14
kin40k,regression,1.2,0.5,0.01,0.93,0.8673075151220768,0.2527238441898678,,,0.8700898848275329,0.24792154836686997,,,0.8271621692272094,0.3203016230609228,,,1.2040586471557617,0.8669131398200989,0.027043184265494347,2.25787615776062,0.7652639746665955,0.5365146398544312,0.11658341437578201,1.467373251914978,200,60,28,28



okay 
covertype,classification,0.0,0.0,0.01,0.92,0.7515403944786754,,0.751258515867974,0.7525703371276034,0.7405526776849473,,0.7405526776849473,0.7429221597411366,0.7660958653968087,,0.7660958653968087,0.7675601749154548,1.4493813514709473,0.9238797426223755,0.025058425962924957,1.4493813514709473,0.8821561336517334,0.9383301138877869,0.023494087159633636,0.8821561336517334,200,60,59,41
covertype,classification,0.0,0.5,0.01,0.92,0.7515403944786754,,0.751258515867974,0.7525703371276034,0.7405526776849473,,0.7405526776849473,0.7429221597411366,0.7658797478149827,,0.7658797478149827,0.7673257441339186,1.4951409101486206,0.9290048480033875,0.02555878274142742,1.507920265197754,0.8912950754165649,0.9403087496757507,0.023483697324991226,0.9030369520187378,200,60,60,42
covertype,classification,1.2,0.0,0.01,0.92,0.7515403944786754,,0.751258515867974,0.7525703371276034,0.7405526776849473,,0.7405526776849473,0.7429221597411366,0.7580601622441142,,0.7580601622441142,0.7603518778744236,1.4808754920959473,0.9122887849807739,0.028202202171087265,2.575622081756592,1.0535534620285034,0.3803806006908417,0.25123366713523865,1.5100102424621582,200,60,5,5
covertype,classification,1.2,0.5,0.01,0.92,0.7515403944786754,,0.751258515867974,0.7525703371276034,0.7405526776849473,,0.7405526776849473,0.7429221597411366,0.7657287983809992,,0.7657287983809992,0.768381288789646,1.613752841949463,0.919508159160614,0.026264306157827377,2.730294704437256,0.9703143835067749,0.6018590927124023,0.09351105988025665,1.7393008470535278,200,60,14,12
slice,regression,0.0,0.0,0.01,0.95,7.953729770037977,0.8750905566940166,,,6.335555926546369,0.920745657485386,,,6.171430939664516,0.924798698585044,,,1.6241848468780518,0.9107478857040405,0.02804512344300747,1.6241848468780518,0.16890594363212585,0.9608675837516785,0.0195266492664814,0.16890594363212585,200,60,60,58
slice,regression,0.0,0.5,0.01,0.95,7.953729770037977,0.8750905566940166,,,6.335555926546369,0.920745657485386,,,6.171430939664516,0.924798698585044,,,1.8848694562911987,0.8911343812942505,0.030693689361214638,1.9002163410186768,0.16988210380077362,0.9584498405456543,0.019701547920703888,0.17973287403583527,200,60,60,58
slice,regression,1.2,0.0,0.01,0.95,7.953729770037977,0.8750905566940166,,,6.335555926546369,0.920745657485386,,,6.143206705264199,0.9254849723820052,,,1.1331626176834106,0.9045500755310059,0.02697579190135002,2.2186226844787598,0.3065883219242096,0.49015042185783386,0.20349568128585815,0.8947688341140747,200,60,10,10
slice,regression,1.2,0.5,0.01,0.95,7.953729770037977,0.8750905566940166,,,6.335555926546369,0.920745657485386,,,5.6927100222748415,0.9360130022444517,,,1.9427096843719482,0.914339005947113,0.025842204689979553,3.052837610244751,0.2554517388343811,0.6314211487770081,0.08886697888374329,1.0575906038284302,200,60,30,28
3droad,regression,0.0,0.0,0.01,0.9,13.166527159306085,0.490218408560005,,,12.154299759730922,0.5655882572863491,,,11.973800267098863,0.5783950617950193,,,1.3695484399795532,0.8649600148200989,0.02927648462355137,1.3695484399795532,0.5922590494155884,0.9172332286834717,0.021785665303468704,0.5922590494155884,200,60,59,57
3droad,regression,0.0,0.5,0.01,0.9,13.166527159306085,0.490218408560005,,,12.154299759730922,0.5655882572863491,,,11.976171752390504,0.5782280423193669,,,1.661560297012329,0.8963375687599182,0.02554791234433651,1.6743342876434326,0.5933663249015808,0.9250267148017883,0.02072637900710106,0.6037294864654541,200,60,60,58
3droad,regression,1.2,0.0,0.01,0.9,13.166527159306085,0.490218408560005,,,12.154299759730922,0.5655882572863491,,,10.74036270453302,0.6607814715804972,,,1.705618143081665,0.8872824311256409,0.02709396556019783,2.770357131958008,0.7087081670761108,0.3495016396045685,0.39981383085250854,1.1281101703643799,200,60,11,11
3droad,regression,1.2,0.5,0.01,0.9,13.166527159306085,0.490218408560005,,,12.154299759730922,0.5655882572863491,,,11.046784712811457,0.6411495867928958,,,1.2304778099060059,0.8652516603469849,0.03189630061388016,2.2847278118133545,0.684593141078949,0.46162036061286926,0.181191086769104,1.3291330337524414,200,60,16,16
kin40k,regression,0.0,0.0,0.01,0.93,0.8784807649651512,0.23334597635071108,,,0.8733582101849255,0.24226086045636386,,,0.8733582101849255,0.24226086045636386,,,1.0072317123413086,0.8270054459571838,0.035654522478580475,1.0072317123413086,0.6292365789413452,0.9101730585098267,0.019746754318475723,0.6292365789413452,200,60,60,60
kin40k,regression,0.0,0.5,0.01,0.93,0.8784807649651512,0.23334597635071108,,,0.8733582101849255,0.24226086045636386,,,0.8733582101849255,0.24226086045636386,,,1.787218689918518,0.839870274066925,0.031874846667051315,1.8031561374664307,0.6293100714683533,0.9126242399215698,0.01941860280930996,0.6390193700790405,200,60,60,60
kin40k,regression,1.2,0.0,0.01,0.93,0.8784807649651512,0.23334597635071108,,,0.8733582101849255,0.24226086045636386,,,0.7559891967067806,0.4322383104148185,,,1.474118947982788,0.8194032311439514,0.034184157848358154,2.4574029445648193,0.8417971134185791,0.39424729347229004,0.22813011705875397,1.3148938417434692,200,60,12,12
kin40k,regression,1.2,0.5,0.01,0.93,0.8784807649651512,0.23334597635071108,,,0.8733582101849255,0.24226086045636386,,,0.7812925633651181,0.3935956793257105,,,1.5867828130722046,0.8539375066757202,0.030231395736336708,2.6266236305236816,0.7989664077758789,0.46708422899246216,0.15555140376091003,1.4372432231903076,200,60,21,21
covertype,classification,0.0,0.0,0.01,0.92,0.7472720388282675,,0.7465649651552214,0.748751035411066,0.7397461727035741,,0.7397461727035741,0.7424162309370366,0.7547401140837193,,0.7547401140837193,0.7571144113256243,1.5196768045425415,0.8973760008811951,0.02831519953906536,1.5196768045425415,0.8634071946144104,0.9367683529853821,0.023432429879903793,0.8634071946144104,200,60,60,48
covertype,classification,0.0,0.5,0.01,0.92,0.7472720388282675,,0.7465649651552214,0.748751035411066,0.7397461727035741,,0.7397461727035741,0.7424162309370366,0.7540738763242449,,0.7540738763242449,0.7565004315346753,1.323661208152771,0.904063880443573,0.03001289814710617,1.338667631149292,0.8555241227149963,0.9542682766914368,0.020941531285643578,0.8659948706626892,200,60,59,47
covertype,classification,1.2,0.0,0.01,0.92,0.7472720388282675,,0.7465649651552214,0.748751035411066,0.7397461727035741,,0.7397461727035741,0.7424162309370366,0.7437698473328404,,0.7437698473328404,0.7528462574441123,1.549960970878601,0.9216028451919556,0.025210358202457428,2.655884265899658,0.9892866015434265,0.48077744245529175,0.16952142119407654,1.5662195682525635,200,60,11,11
covertype,classification,1.2,0.5,0.01,0.92,0.7472720388282675,,0.7465649651552214,0.748751035411066,0.7397461727035741,,0.7397461727035741,0.7424162309370366,0.7716803284581574,,0.7716803284581574,0.775432608030058,1.5571380853652954,0.9178357720375061,0.027120983228087425,2.6721017360687256,0.9399685859680176,0.5575964450836182,0.11969979107379913,1.6689342260360718,200,60,12,12
slice,regression,1.2,0.5,0.01,0.95,5.093033897835466,0.9487838719057841,,,4.940486053969949,0.9518060009298718,,,4.780722224780522,0.9548725669473709,,,1.9241926670074463,0.9156895279884338,0.02558998018503189,3.0358152389526367,0.27085447311401367,0.607964277267456,0.13384635746479034,1.067334771156311,200,60,29,29
covertype,classification,0.0,0.0,0.01,0.92,0.7495955388799008,,0.7491199501987964,0.7508551871747947,0.7398726189943907,,0.7398726189943907,0.7422560099232577,0.7504577093860241,,0.7504577093860241,0.7525176406935656,1.4913114309310913,0.9364895820617676,0.024632185697555542,1.4913114309310913,0.8651713728904724,0.9469332695007324,0.02269583009183407,0.8651713728904724,200,60,60,48
covertype,classification,0.0,0.5,0.01,0.92,0.7495955388799008,,0.7491199501987964,0.7508551871747947,0.7398726189943907,,0.7398726189943907,0.7422560099232577,0.7516390288765186,,0.7516390288765186,0.7536811023631615,1.3771934509277344,0.9201441407203674,0.02693610079586506,1.3906614780426025,0.8513874411582947,0.9574512243270874,0.020939145237207413,0.861856997013092,200,60,58,46
covertype,classification,1.2,0.0,0.01,0.92,0.7495955388799008,,0.7491199501987964,0.7508551871747947,0.7398726189943907,,0.7398726189943907,0.7422560099232577,0.756452989850459,,0.756452989850459,0.7584517841506021,1.5349597930908203,0.9167149662971497,0.027684638276696205,2.6350178718566895,0.9746883511543274,0.5491046905517578,0.11838512867689133,1.6336140632629395,200,60,10,8
covertype,classification,1.2,0.5,0.01,0.92,0.7495955388799008,,0.7491199501987964,0.7508551871747947,0.7398726189943907,,0.7398726189943907,0.7422560099232577,0.749632061292716,,0.749632061292716,0.7526541253706367,1.4459306001663208,0.934281587600708,0.025164734572172165,2.57965087890625,0.9772472977638245,0.48266905546188354,0.15380774438381195,1.6333539485931396,200,60,8,8
higgs,classification,0.0,0.0,0.01,0.92,0.6801,,0.6762318935369195,0.6743216104654763,0.6550965187707574,,0.6550965187707574,0.6540872387798882,0.6801023698763345,,0.6801023698763345,0.6779591403074412,1.3575459718704224,0.9083343744277954,0.02870904467999935,1.3575459718704224,1.048553228378296,0.9307668209075928,0.02478538267314434,1.048553228378296,200,60,59,41
higgs,classification,0.0,0.5,0.01,0.92,0.6801,,0.6762318935369195,0.6743216104654763,0.6550965187707574,,0.6550965187707574,0.6540872387798882,0.6826506202637193,,0.6826506202637193,0.6804998987239863,1.3685346841812134,0.9253203272819519,0.026061635464429855,1.3815654516220093,1.0522788763046265,0.9452811479568481,0.02265901118516922,1.0636084079742432,200,60,59,40
higgs,classification,0.5,0.0,0.01,0.92,0.6801,,0.6762318935369195,0.6743216104654763,0.6550965187707574,,0.6550965187707574,0.6540872387798882,0.6691659460027637,,0.6691659460027637,0.6671619164549683,1.3680682182312012,0.9389356970787048,0.023512177169322968,1.837536096572876,1.103628396987915,0.5143698453903198,0.1507427841424942,1.3608133792877197,200,60,10,10
higgs,classification,0.5,0.5,0.01,0.92,0.6801,,0.6762318935369195,0.6743216104654763,0.6550965187707574,,0.6550965187707574,0.6540872387798882,0.6807070912943377,,0.6807070912943377,0.67856104816877,1.7388298511505127,0.9287002086639404,0.025727882981300354,2.216043710708618,1.083962321281433,0.6482165455818176,0.07866621762514114,1.4474036693572998,200,60,19,17
higgs,classification,0.0,0.0,0.01,0.92,0.68143,,0.6766124783898007,0.6750881368474283,0.684125565722473,,0.684125565722473,0.6820568604643045,0.6983846567064781,,0.6983846567064781,0.6963385695580047,1.4379888772964478,0.9171465039253235,0.026706796139478683,1.4379888772964478,1.0581084489822388,0.9394550323486328,0.02263762801885605,1.0581084489822388,200,60,59,44
higgs,classification,0.0,0.5,0.01,0.92,0.68143,,0.6766124783898007,0.6750881368474283,0.684125565722473,,0.684125565722473,0.6820568604643045,0.6988211117894406,,0.6988211117894406,0.6967167674726616,1.2791671752929688,0.9196066856384277,0.026381246745586395,1.2923578023910522,1.0559343099594116,0.9675278663635254,0.01921721175312996,1.0655429363250732,200,60,59,44
higgs,classification,0.5,0.0,0.01,0.92,0.68143,,0.6766124783898007,0.6750881368474283,0.684125565722473,,0.684125565722473,0.6820568604643045,0.6922071494649613,,0.6922071494649613,0.6901215940291058,1.3834470510482788,0.9055016040802002,0.029483381658792496,1.836197853088379,1.096513032913208,0.5679517984390259,0.11678998172283173,1.3804888725280762,200,60,17,17
higgs,classification,0.5,0.5,0.01,0.92,0.68143,,0.6766124783898007,0.6750881368474283,0.684125565722473,,0.684125565722473,0.6820568604643045,0.6928283007869946,,0.6928283007869946,0.6907168768518616,1.3710474967956543,0.9331826567649841,0.024860026314854622,1.8500689268112183,1.0837876796722412,0.643607497215271,0.07948560267686844,1.4453343152999878,200,60,16,16
higgs,classification,0.0,0.0,0.01,0.92,0.685,,0.6816016223389807,0.6796688153370662,0.6768021264155277,,0.6768021264155277,0.6748537015485866,0.686531222574289,,0.686531222574289,0.6844825352846098,1.3368432521820068,0.9257156252861023,0.025283819064497948,1.3368432521820068,1.072084903717041,0.9509398937225342,0.021994132548570633,1.072084903717041,200,60,60,47
higgs,classification,0.0,0.5,0.01,0.92,0.685,,0.6816016223389807,0.6796688153370662,0.6768021264155277,,0.6768021264155277,0.6748537015485866,0.6879110654955358,,0.6879110654955358,0.6858249641931733,1.3233766555786133,0.9343425035476685,0.02409464679658413,1.3354239463806152,1.067714810371399,0.9494957327842712,0.021542422473430634,1.0784859657287598,200,60,58,45
higgs,classification,0.5,0.0,0.01,0.92,0.685,,0.6816016223389807,0.6796688153370662,0.6768021264155277,,0.6768021264155277,0.6748537015485866,0.6996147578422004,,0.6996147578422004,0.6988378395007135,1.3957362174987793,0.922207236289978,0.02694934606552124,1.856839895248413,1.1168162822723389,0.42071428894996643,0.24929305911064148,1.3271734714508057,200,60,8,8
higgs,classification,0.5,0.5,0.01,0.92,0.685,,0.6816016223389807,0.6796688153370662,0.6768021264155277,,0.6768021264155277,0.6748537015485866,0.6872554084147148,,0.6872554084147148,0.6852242051082018,1.2436221837997437,0.9319377541542053,0.024972880259156227,1.722077488899231,1.08995521068573,0.6133247017860413,0.09175936877727509,1.4424972534179688,200,60,17,13
higgs,classification,0.0,0.0,0.01,0.92,0.6823,,0.6790600239333826,0.6771110682703627,0.6806904735782336,,0.6806904735782336,0.6786289217301565,0.6916759650018712,,0.6916759650018712,0.6895968835315133,1.4448281526565552,0.9231503009796143,0.026324601843953133,1.4448281526565552,1.0714200735092163,0.9478781223297119,0.02267889864742756,1.0714200735092163,200,60,60,49
higgs,classification,0.0,0.3,0.01,0.92,0.6823,,0.6790600239333826,0.6771110682703627,0.6806904735782336,,0.6806904735782336,0.6786289217301565,0.6916759650018712,,0.6916759650018712,0.6895968835315133,1.3613585233688354,0.9199197888374329,0.027144957333803177,1.369502067565918,1.0698137283325195,0.9538522958755493,0.021832285448908806,1.076363444328308,200,60,60,49
higgs,classification,0.5,0.0,0.01,0.92,0.6823,,0.6790600239333826,0.6771110682703627,0.6806904735782336,,0.6806904735782336,0.6786289217301565,0.6873238838409018,,0.6873238838409018,0.6856621496093525,1.4015477895736694,0.9158115983009338,0.026554077863693237,1.859453558921814,1.1158487796783447,0.44383999705314636,0.2206375151872635,1.337768793106079,200,60,9,9
higgs,classification,0.5,0.3,0.01,0.92,0.6823,,0.6790600239333826,0.6771110682703627,0.6806904735782336,,0.6806904735782336,0.6786289217301565,0.6894036293910152,,0.6894036293910152,0.6875652187361962,1.2926901578903198,0.9245395064353943,0.026017237454652786,1.7627651691436768,1.0965380668640137,0.5936753153800964,0.10950102657079697,1.426226019859314,200,60,22,20
higgs,classification,0.0,0.0,0.01,0.92,0.68561,,0.6819612088269217,0.6800787285495,0.6887305589208187,,0.6887305589208187,0.6866408273593286,0.6927110987462688,,0.6927110987462688,0.6905963316780297,1.2585957050323486,0.9263730049133301,0.025418424978852272,1.2585957050323486,1.0553247928619385,0.9611637592315674,0.020684441551566124,1.0553247928619385,200,60,59,51
higgs,classification,0.0,0.7,0.01,0.92,0.68561,,0.6819612088269217,0.6800787285495,0.6887305589208187,,0.6887305589208187,0.6866408273593286,0.695074527610447,,0.695074527610447,0.6929871989921257,1.322231650352478,0.9256829619407654,0.026281116530299187,1.3406283855438232,1.0562632083892822,0.9791223406791687,0.018403951078653336,1.069145917892456,200,60,60,50
higgs,classification,0.1,0.0,0.01,0.92,0.68561,,0.6819612088269217,0.6800787285495,0.6887305589208187,,0.6887305589208187,0.6866408273593286,0.6965279427403791,,0.6965279427403791,0.6944055902256036,1.3510265350341797,0.926891028881073,0.026121381670236588,1.4437156915664673,1.0595762729644775,0.8701499700546265,0.030282512307167053,1.146591305732727,200,60,41,39
higgs,classification,0.1,0.7,0.01,0.92,0.68561,,0.6819612088269217,0.6800787285495,0.6887305589208187,,0.6887305589208187,0.6866408273593286,0.6957435807959328,,0.6957435807959328,0.6936180520417644,1.305640697479248,0.916260302066803,0.02827802114188671,1.4170613288879395,1.0570030212402344,0.934272825717926,0.022509107366204262,1.1661866903305054,200,60,50,45
higgs,classification,0.0,0.0,0.01,0.92,0.68859,,0.6858462884925288,0.6837915179776617,0.6909756257451193,,0.6909756257451193,0.6889813795834439,0.6957175818849884,,0.6957175818849884,0.6937191043059704,1.3753410577774048,0.9386059641838074,0.024043194949626923,1.3753410577774048,1.0586353540420532,0.9643318057060242,0.020239081233739853,1.0586353540420532,200,60,60,51
higgs,classification,0.0,0.7,0.01,0.92,0.68859,,0.6858462884925288,0.6837915179776617,0.6909756257451193,,0.6909756257451193,0.6889813795834439,0.6957175818849884,,0.6957175818849884,0.6937191043059704,1.4385439157485962,0.927933931350708,0.02539822645485401,1.4563226699829102,1.0614076852798462,0.9726166725158691,0.019153501838445663,1.0748151540756226,200,60,60,51
higgs,classification,1.0,0.0,0.01,0.92,0.68859,,0.6858462884925288,0.6837915179776617,0.6909756257451193,,0.6909756257451193,0.6889813795834439,0.6677653660218604,,0.6677653660218604,0.679889668109365,1.3007255792617798,0.9207473397254944,0.02684970572590828,2.221472978591919,1.1505858898162842,0.2628672420978546,0.44992154836654663,1.4134531021118164,200,60,2,2
higgs,classification,1.0,0.7,0.01,0.92,0.68859,,0.6858462884925288,0.6837915179776617,0.6909756257451193,,0.6909756257451193,0.6889813795834439,0.6724675761347139,,0.6724675761347139,0.6704345597546342,1.246570110321045,0.9317845106124878,0.025590039789676666,2.19626784324646,1.1229884624481201,0.4815725088119507,0.17745177447795868,1.7287771701812744,200,60,11,11
higgs,classification,0.0,0.0,0.01,0.94,0.68361,,0.6787858954629286,0.6772482324094838,0.6965720979898644,,0.6965720979898644,0.6946161392474475,0.6970164276796862,,0.6970164276796862,0.6951456856589153,1.2667787075042725,0.9272435903549194,0.025769619271159172,1.2667787075042725,1.0569559335708618,0.9667956829071045,0.02040776051580906,1.0569559335708618,200,60,60,52
higgs,classification,0.0,0.7,0.01,0.94,0.68361,,0.6787858954629286,0.6772482324094838,0.6965720979898644,,0.6965720979898644,0.6946161392474475,0.6970164276796862,,0.6970164276796862,0.6951456856589153,1.8144645690917969,0.9348399043083191,0.02448265813291073,1.8316024541854858,1.0701546669006348,0.968896210193634,0.019680459052324295,1.0839309692382812,200,60,60,52
higgs,classification,0.0,1.0,0.01,0.94,0.68361,,0.6787858954629286,0.6772482324094838,0.6965720979898644,,0.6965720979898644,0.6946161392474475,0.6970164276796862,,0.6970164276796862,0.6951456856589153,1.2582076787948608,0.9270656704902649,0.025953644886612892,1.2841613292694092,1.0593537092208862,0.9689688682556152,0.019647687673568726,1.0790014266967773,200,60,60,52
higgs,classification,1.0,0.0,0.01,0.94,0.68361,,0.6787858954629286,0.6772482324094838,0.6965720979898644,,0.6965720979898644,0.6946161392474475,0.6692513354834306,,0.6692513354834306,0.6784180942611021,1.3068323135375977,0.9116820693016052,0.029605846852064133,2.2185144424438477,1.1558759212493896,0.2541080713272095,0.45911991596221924,1.4099839925765991,200,60,2,2
higgs,classification,1.0,0.7,0.01,0.94,0.68361,,0.6787858954629286,0.6772482324094838,0.6965720979898644,,0.6965720979898644,0.6946161392474475,0.6969275799436746,,0.6969275799436746,0.6964632111958426,1.298520565032959,0.906439483165741,0.029383797198534012,2.2255287170410156,1.106480598449707,0.492443323135376,0.16325277090072632,1.7132008075714111,200,60,10,10
higgs,classification,1.0,1.0,0.01,0.94,0.68361,,0.6787858954629286,0.6772482324094838,0.6965720979898644,,0.6965720979898644,0.6946161392474475,0.6896294363079359,,0.6896294363079359,0.687730455088552,1.5226190090179443,0.9200666546821594,0.026842225342988968,2.4695277214050293,1.1158967018127441,0.5120875239372253,0.1490696519613266,1.777053952217102,200,60,9,9
