method,win,loss,tie
L1,22,6,14
corr -> SHAP,12,21,9
SHAP/Linear,14,10,18
SHAP -> corr,19,11,12
RE,12,17,13
RF,6,31,5
DREP,7,23,12
L1/Linear,29,2,11
